Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,599825400,7695.455695567847,4431817,56.85796462497992,644248,6469458,82.99986531636868,13079,0.16779693731264425,1866,
United States of America,Americas,93060268,28114.659,557553,168.444,91651,1033467,312.223,2646,0.799,230
India,South-East Asia,44428393,3219.439,60198,4.362,7231,527874,38.252,422,0.031,45
Brazil,Americas,34397205,16182.395,106123,49.926,12458,683622,321.615,951,0.447,128
France,Europe,33493980,51498.017,114564,176.146,27358,150523,231.434,320,0.492,72
Germany,Europe,32145157,38651.471,203264,244.405,35245,147404,177.239,57,0.069,6
The United Kingdom,Europe,23493327,34607.026,2215,3.263,0,187761,276.583,0,0,0
Republic of Korea,Western Pacific,23246398,45341.852,657848,1283.126,103919,26764,52.203,540,1.053,75
Italy,Europe,21845943,36628.769,149701,251.001,31087,175505,294.267,574,0.962,98
Russian Federation,Europe,19528969,13382.013,307367,210.62,46321,384346,263.369,588,0.403,92
Japan,Western Pacific,18772004,14842.291,1252756,990.505,139582,39564,31.282,1970,1.558,311
Türkiye,Europe,16671848,19767.646,0,0,0,100400,119.043,0,0,0
Spain,Europe,13342530,28188.872,18746,39.605,9554,112600,237.891,354,0.748,146
Viet Nam,Western Pacific,11408952,11720.894,19684,20.222,3241,43117,44.296,11,0.011,4
Australia,Western Pacific,10018025,39286.551,84231,330.319,12187,13834,54.251,374,1.467,75
Argentina,Americas,9678225,21414.004,19834,43.885,0,129711,286.998,65,0.144,0
Netherlands,Europe,8385110,48169.289,7735,44.435,1289,22599,129.823,12,0.069,1
Iran (Islamic Republic of),Eastern Mediterranean,7527499,8962.061,13570,16.156,1871,143820,171.229,315,0.375,44
Mexico,Americas,7014510,5440.441,10328,8.01,0,329390,255.474,69,0.054,0
China,Western Pacific,6401517,435.096,208825,14.193,34699,24806,1.686,281,0.019,40
Indonesia,South-East Asia,6358808,2324.775,29665,10.845,4563,157566,57.606,128,0.047,25
Colombia,Americas,6299595,12380.576,6465,12.706,0,141519,278.127,113,0.222,0
Poland,Europe,6176885,16272.887,21916,57.737,3826,117093,308.479,157,0.414,34
Portugal,Europe,5416852,52611.693,18467,179.363,3928,24846,241.319,44,0.427,6
Ukraine,Europe,5044941,11535.576,0,0,0,108803,248.785,0,0,0
Austria,Europe,4956010,55678.849,33594,377.416,5046,20639,231.871,30,0.337,2
Malaysia,Western Pacific,4780284,14769.462,17732,54.786,2144,36210,111.877,44,0.136,4
Greece,Europe,4762827,44435.305,50579,471.882,0,32552,303.697,202,1.885,0
Thailand,South-East Asia,4650919,6663.21,11658,16.702,2240,32303,46.279,194,0.278,28
Israel,Europe,4632920,53525.482,6332,73.155,885,11614,134.18,17,0.196,0
Chile,Americas,4502674,23554.23,49117,256.939,3451,60445,316.198,197,1.031,10
Belgium,Europe,4482315,38900.745,5858,50.84,0,32516,282.197,28,0.243,0
Canada,Americas,4158491,11018.16,22884,60.632,0,43797,116.043,292,0.774,0
Peru,Americas,4100923,12437.648,25013,75.862,1138,215685,654.149,306,0.928,46
Czechia,Europe,4040773,37785.637,10867,101.618,2252,40814,381.655,43,0.402,3
Switzerland,Europe,4025875,46517.073,11460,132.415,5,13532,156.356,6,0.069,0
South Africa,Africa,4011657,6764.029,1450,2.445,226,102084,172.123,0,0,0
Philippines,Western Pacific,3878734,3539.602,18280,16.682,1624,61773,56.372,347,0.317,53
Denmark,Europe,3272445,56200.896,6276,107.784,987,6920,118.844,49,0.842,8
Romania,Europe,3216257,16639.681,21004,108.667,4046,66673,344.941,126,0.652,34
Sweden,Europe,2564423,24830.8,1932,18.707,0,19810,191.816,1,0.01,0
Iraq,Eastern Mediterranean,2457871,6110.688,1316,3.272,1316,25346,63.014,3,0.007,3
Serbia,Europe,2279485,32908.648,26203,378.29,3810,16672,240.692,111,1.602,15
Hungary,Europe,2048547,20968.745,12157,124.438,12157,47291,484.066,100,1.024,100
Bangladesh,South-East Asia,2011946,1221.661,1456,0.884,214,29323,17.805,4,0.002,0
Singapore,Western Pacific,1837090,31401.412,14903,254.737,2900,1592,27.212,8,0.137,1
Slovakia,Europe,1834215,33606.773,1990,36.461,342,20353,372.911,12,0.22,4
Georgia,Europe,1735682,43509.798,12595,315.729,0,16889,423.371,6,0.15,0
Jordan,Eastern Mediterranean,1735495,17009.431,3946,38.674,0,14110,138.291,5,0.049,0
New Zealand,Western Pacific,1724724,35766.086,15300,317.28,2321,2812,58.313,82,1.7,17
Ireland,Europe,1655338,33343.902,338,6.808,0,7820,157.52,4,0.081,0
Pakistan,Eastern Mediterranean,1568849,710.232,1980,0.896,396,30575,13.842,18,0.008,1
Kazakhstan,Europe,1478394,7873.553,3518,18.736,231,19041,101.408,2,0.011,0
Norway,Europe,1459864,27197.806,610,11.365,60,3980,74.149,27,0.503,0
Morocco,Eastern Mediterranean,1264388,3425.545,320,0.867,46,16273,44.088,3,0.008,1
Finland,Europe,1258798,22782.47,227,4.108,0,5577,100.936,0,0,0
Bulgaria,Europe,1242133,17868.607,5473,78.731,860,37600,540.892,38,0.547,1
Lithuania,Europe,1218327,43603.714,5936,212.448,986,9289,332.452,19,0.68,0
Croatia,Europe,1212547,29879.194,5194,127.989,568,16690,411.27,95,2.341,17
Lebanon,Eastern Mediterranean,1208925,17712.032,3756,55.029,244,10624,155.653,15,0.22,2
Tunisia,Eastern Mediterranean,1143788,9677.848,1070,9.054,621,29234,247.355,10,0.085,1
Slovenia,Europe,1125185,53686.051,9257,441.68,2193,8125,387.669,8,0.382,0
Cuba,Americas,1110497,9804.314,395,3.487,33,8530,75.309,0,0,0
Bolivia (Plurinational State of),Americas,1100820,9430.464,6535,55.984,708,22196,190.148,21,0.18,1
Guatemala,Americas,1098327,6130.573,10047,56.08,764,19460,108.621,91,0.508,9
